+-----------------------------------------------------------------------------------+-----------+-----------------------+
|                                       name                                        | graduated | per_pupil_expenditure |
| Braintree High                                                                    | 95.6      | 17464.59              |
| Brookline High                                                                    | 95.6      | 25689.75              |
| Norton High                                                                       | 95.6      | 17349.52              |
| West Boylston Junior/Senior High                                                  | 95.6      | 18281.63              |
| Match Charter Public School                                                       | 95.7      | 24035.64              |
| Wakefield Memorial High                                                           | 95.7      | 18491.73              |
| Baystate Academy Charter Public School                                            | 95.9      | 17162.04              |
| Bristol County Agricultural High                                                  | 95.9      | 21286.32              |
| Bristol-Plymouth Vocational Technical                                             | 95.9      | 20069.67              |
| Hingham High                                                                      | 95.9      | 17319.48              |
| Holliston High                                                                    | 95.9      | 15822.37              |
| Oakmont Regional High School                                                      | 95.9      | 14920.21              |
| East Bridgewater JR./SR. High School                                              | 96        | 15155.67              |
| Smith Academy                                                                     | 96        | 15224.63              |
| Dracut Senior High                                                                | 96.1      | 13660.99              |
| Gr Lowell Regional Vocational Technical                                           | 96.1      | 21503.15              |
| Hampshire Regional High                                                           | 96.1      | 21810.18              |
| Seekonk High                                                                      | 96.1      | 17750.37              |
| Bridgewater-Raynham Regional                                                      | 96.2      | 14606.21              |
| Canton High                                                                       | 96.2      | 20012.55              |
| Danvers High                                                                      | 96.2      | 18348.72              |
| Leominster High School                                                            | 96.2      | 15178.86              |
| Dighton-Rehoboth Regional High School                                             | 96.3      | 16537.96              |
| King Philip Regional High                                                         | 96.3      | 19918.26              |
| Natick High                                                                       | 96.3      | 17396.77              |
| Norwood High                                                                      | 96.3      | 20402.34              |
| Tewksbury Memorial High                                                           | 96.3      | 19139.45              |
| West Bridgewater Junior/Senior                                                    | 96.3      | 14595.33              |
| Center For Technical Education Innovation                                         | 96.4      | 15178.86              |
| Masconomet Regional High School                                                   | 96.4      | 22151.29              |
| Wachusett Regional High                                                           | 96.4      | 15412.34              |
| Atlantis Charter School                                                           | 96.5      | 14406.56              |
| Apponequet Regional High                                                          | 96.6      | 15402.08              |
| Monomoy Regional High School                                                      | 96.6      | 20773.63              |
| Pioneer Valley Chinese Immersion Charter School                                   | 96.6      | 17912.21              |
| Silver Lake Regional High                                                         | 96.6      | 18364.65              |
| Somerset Berkley Regional High School                                             | 96.6      | 17168.99              |
| South Hadley High                                                                 | 96.6      | 16069.8               |
| Arlington High                                                                    | 96.7      | 17933.78              |
| Georgetown High School                                                            | 96.7      | 17847.87              |
| Lenox Memorial High                                                               | 96.7      | 21138.03              |
| Roger L. Putnam Vocational Technical Academy                                      | 96.8      | 18642.14              |
| Sandwich Middle High School                                                       | 96.8      | 21246.59              |
| Scituate High School                                                              | 96.8      | 17609.03              |
| Foxborough Regional Charter School                                                | 96.9      | 15367.85              |
| Franklin High                                                                     | 96.9      | 17063.18              |
| Pentucket Regional Sr High                                                        | 96.9      | 17931.97              |
| Chelmsford High                                                                   | 97        | 17193.1               |
| Melrose High                                                                      | 97        | 14565.67              |
| Nashoba Regional                                                                  | 97        | 19569.91              |
| Rockport High                                                                     | 97        | 24917.77              |
| Springfield International Charter School                                          | 97        | 13675.68              |
| Wahconah Regional High                                                            | 97        | 17106.95              |
| Belchertown High                                                                  | 97.1      | 15420.41              |
| Burlington High                                                                   | 97.1      | 24192.14              |
| Dover-Sherborn Regional High                                                      | 97.1      | 21860.15              |
| Marshfield High                                                                   | 97.1      | 16526.74              |
| Newton North High                                                                 | 97.1      | 23431.12              |
| Oliver Ames High                                                                  | 97.1      | 16047.75              |
| Ashland High                                                                      | 97.2      | 16151.91              |
| Carver Middle/High School                                                         | 97.2      | 17398.01              |
| Mansfield High                                                                    | 97.2      | 19431.36              |
| Hopedale Jr Sr High                                                               | 97.3      | 16471.48              |
| Lunenburg High                                                                    | 97.3      | 15200.9               |
| Montachusett Regional Vocational Technical                                        | 97.4      | 21573.81              |
| Tyngsborough High School                                                          | 97.4      | 17755.94              |
| University Pk Campus School                                                       | 97.4      | 17315.9               |
| KIPP Academy Lynn Charter School                                                  | 97.5      | 19570.45              |
| Lynn Vocational Technical Institute                                               | 97.5      | 16351.7               |
| Mashpee Middle-High School                                                        | 97.5      | 21104.55              |
| Minnechaug Regional High                                                          | 97.5      | 16970.87              |
| Boston Latin School                                                               | 97.6      | 26589.17              |
| Gr Lawrence Regional Vocational Technical                                         | 97.6      | 23074.47              |
| Manchester Essex Regional High School                                             | 97.6      | 21772.56              |
| Marblehead High                                                                   | 97.6      | 19558.01              |
| Sutton High School                                                                | 97.6      | 17145.45              |
| The Springfield Renaissance School an Expeditionary Learning School               | 97.6      | 18642.14              |
| Hamilton-Wenham Regional High                                                     | 97.8      | 20544.67              |
| Westborough High                                                                  | 97.8      | 18296.72              |
| Algonquin Regional High                                                           | 97.9      | 19683.27              |
| Boston Latin Academy                                                              | 97.9      | 26589.17              |
| Lincoln-Sudbury Regional High                                                     | 97.9      | 24060.71              |
| North Reading High                                                                | 97.9      | 19035.75              |
| Wellesley Sr High                                                                 | 97.9      | 24183.11              |
| Andover High                                                                      | 98        | 20941.36              |
| Diman Regional Vocational Technical High                                          | 98        | 20978.46              |
| Essex North Shore Agricultural and Technical School                               | 98        | 20557.03              |
| Medfield Senior High                                                              | 98        | 18435.05              |
| Pioneer Charter School of Science                                                 | 98        | 16080.76              |
| Pioneer Charter School of Science II                                              | 98        | 16308.22              |
| Sturgis Charter Public School                                                     | 98        | 16561.31              |
| Bay Path Regional Vocational Technical High School                                | 98.1      | 19363.97              |
| John J Duggan Academy                                                             | 98.1      | 18642.14              |
| Needham High                                                                      | 98.1      | 21146.56              |
| North Andover High                                                                | 98.1      | 16052.29              |
| Shawsheen Valley Vocational Technical High School                                 | 98.1      | 24679.92              |
| Shrewsbury High School                                                            | 98.1      | 15200.15              |
| Plymouth South High                                                               | 98.2      | 19562.98              |
| Reading Memorial High                                                             | 98.2      | 16616.08              |
| Tantasqua Regional Vocational                                                     | 98.2      | 15178.61              |
| Tri-County Regional Vocational Technical                                          | 98.2      | 22170.02              |
| East Longmeadow High                                                              | 98.3      | 18006.13              |
| Northeast Metro Regional Vocational                                               | 98.3      | 21825.6               |
